Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
1,Precious Achiuwa,C-PF,24,TOT,36,0,16.1,2.8,5.8,.478,0.4,1.4,.269,2.4,4.3,.548,.512,0.8,1.3,.587,1.9,3.1,5.1,1.3,0.5,0.5,1.1,1.6,6.6,2024
1,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7,2024
1,Precious Achiuwa,PF,24,NYK,11,0,12.9,1.9,3.4,.568,0.1,0.5,.200,1.8,2.9,.625,.581,0.3,0.4,.750,1.8,2.4,4.2,0.3,0.3,0.6,0.8,1.5,4.2,2024
2,Bam Adebayo,C,26,MIA,33,33,35.0,7.9,15.7,.503,0.0,0.3,.100,7.9,15.4,.511,.504,5.7,7.2,.787,2.3,8.2,10.5,4.3,1.1,0.9,2.6,2.5,21.5,2024
3,Ochai Agbaji,SG,23,UTA,44,10,20.1,2.2,5.1,.434,1.0,3.0,.326,1.3,2.1,.585,.529,0.3,0.5,.750,0.8,1.8,2.5,0.9,0.6,0.6,0.7,1.4,5.8,2024
4,Santi Aldama,PF,23,MEM,33,7,23.2,3.9,9.0,.432,1.5,4.5,.333,2.4,4.4,.534,.517,1.0,1.7,.618,1.2,4.4,5.5,1.8,0.7,0.8,1.1,1.6,10.3,2024
5,Nickeil Alexander-Walker,SG,25,MIN,43,13,22.5,2.4,5.7,.428,1.4,3.8,.370,1.0,1.9,.543,.551,0.4,0.6,.720,0.4,1.3,1.7,2.4,0.9,0.6,1.0,1.8,6.7,2024
6,Grayson Allen,SG,28,PHO,38,38,33.4,4.6,9.1,.507,2.8,5.7,.491,1.8,3.4,.535,.661,1.7,1.8,.900,0.8,3.4,4.2,2.9,0.9,0.6,1.4,2.1,13.7,2024
7,Jarrett Allen,C,25,CLE,36,36,30.2,6.1,9.1,.669,0.0,0.0,.000,6.1,9.0,.671,.669,2.6,3.5,.754,3.5,6.8,10.3,3.0,0.9,1.1,1.8,2.4,14.8,2024
8,Jose Alvarado,PG,25,NOP,26,0,16.5,2.4,6.0,.406,1.3,3.3,.379,1.2,2.6,.441,.513,0.8,1.2,.645,0.5,1.7,2.2,1.8,1.0,0.4,0.8,1.5,6.9,2024
9,Kyle Anderson,PF,30,MIN,43,2,22.6,2.5,5.3,.470,0.1,0.7,.172,2.4,4.7,.512,.480,1.4,2.0,.702,0.7,2.8,3.5,4.0,0.8,0.6,1.4,1.6,6.5,2024
10,Giannis Antetokounmpo,PF,29,MIL,41,41,35.2,11.5,19.1,.603,0.4,1.8,.230,11.1,17.3,.642,.614,7.7,11.5,.669,2.7,8.8,11.5,6.1,1.4,1.1,3.6,2.9,31.2,2024
11,Thanasis Antetokounmpo,PF,31,MIL,17,0,4.4,0.4,0.8,.500,0.0,0.0,,0.4,0.8,.500,.500,0.0,0.0,,0.2,0.2,0.5,0.5,0.1,0.2,0.5,0.8,0.8,2024
12,Cole Anthony,PG,23,ORL,43,0,24.2,4.4,10.2,.432,1.2,3.6,.331,3.2,6.7,.486,.490,3.0,3.5,.836,1.0,3.1,4.2,3.2,0.8,0.5,1.9,2.6,13.0,2024
13,OG Anunoby,SF,26,TOT,38,38,34.3,5.7,11.5,.495,2.1,5.6,.382,3.6,5.9,.602,.588,1.5,1.9,.792,1.0,3.3,4.3,2.3,1.1,0.7,1.5,2.4,15.1,2024
