Player,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints
Aaron Gordon,11.7,32.5,6.2,2.4,0.5,0.7,1.3,12.7,26.1
Aaron Holiday,3.7,8.4,0.6,1.7,0.5,0.1,0.7,3.8,8.0
Aaron Nesmith,10.0,9.2,1.8,0.2,0.2,0.2,0.2,2.0,5.4
Abdel Nader,4.0,7.0,1.0,0.0,0.2,0.4,0.0,1.0,3.8
Al Horford,15.7,32.9,7.9,2.9,0.7,1.4,0.9,8.6,28.0
Alec Burks,4.5,24.7,4.4,2.2,0.2,0.4,0.8,12.2,22.0
Alex Caruso,10.3,24.3,2.1,2.5,0.9,0.8,1.0,6.2,16.5
Alex Len,6.0,8.0,2.6,0.2,0.1,0.2,0.6,3.4,7.1
Alfonzo McKinnie,2.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6
Alize Johnson,3.0,2.3,1.3,0.0,0.3,0.0,0.3,0.8,3.0
Amir Coffey,4.7,1.6,0.1,0.5,0.1,0.0,0.0,0.5,1.6
Andre Drummond,4.5,18.0,7.0,0.4,1.0,0.7,1.8,6.4,18.8
Andre Iguodala,10.7,15.3,2.2,1.5,0.6,0.5,0.9,3.1,10.3
Andre Roberson,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,17.5,34.4,6.6,1.8,0.9,1.1,1.4,16.6,31.9
Anfernee Simons,5.0,19.2,2.8,1.6,0.9,0.1,0.6,6.6,14.8
Anthony Davis,14.0,34.5,10.1,2.9,1.1,2.0,1.9,22.6,46.4
Anthony Edwards,5.5,38.8,4.6,4.1,1.5,1.6,2.0,28.4,47.3
Anthony Gill,4.0,8.3,1.0,0.0,0.0,0.0,0.8,0.0,0.4
Anthony Lamb,6.0,5.2,1.0,0.0,0.2,0.2,0.3,0.8,2.9
Anthony Tolliver,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonius Cleveland,2.0,4.5,0.5,0.0,0.5,0.0,0.0,2.0,4.1
Armoni Brooks,4.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6
Austin Reaves,16.0,36.2,4.4,4.6,0.6,0.2,1.6,16.9,29.9
Austin Rivers,7.8,20.3,1.5,1.2,0.6,0.2,0.7,5.2,10.5
Axel Toupane,4.0,2.5,1.0,0.0,0.0,0.0,0.0,1.3,2.5
Ayo Dosunmu,5.0,17.2,2.6,2.2,0.2,0.0,0.6,4.0,10.4
B.J. Johnson,1.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,5.4
Bam Adebayo,16.0,35.3,9.4,3.8,1.0,0.7,2.5,16.5,36.1
Ben McLemore,7.5,10.4,1.4,0.4,0.4,0.0,0.3,2.8,5.8
Ben Simmons,12.0,33.5,7.9,8.8,1.3,0.8,2.3,11.9,38.6
Bismack Biyombo,8.5,9.7,2.8,0.7,0.0,0.8,0.8,3.1,9.1
Blake Griffin,5.0,15.0,3.3,1.3,0.4,0.3,0.3,4.3,12.2
Boban Marjanović,4.3,12.2,4.9,0.6,0.1,0.2,0.7,6.6,13.6
Bobby Portis,12.3,21.5,7.7,0.9,0.6,0.4,0.9,9.7,22.2
Bogdan Bogdanović,9.3,28.7,4.0,2.8,1.0,0.5,1.0,13.9,26.2
Bojan Bogdanović,8.5,35.6,4.2,1.6,0.6,0.0,2.0,18.0,25.3
Bol Bol,3.5,3.6,0.8,0.4,0.2,0.2,0.2,2.4,5.1
Bones Hyland,5.0,16.9,1.4,2.0,0.5,0.1,1.0,8.9,14.4
Brad Wanamaker,17.0,16.1,2.0,1.8,0.7,0.2,1.1,4.9,11.6
Bradley Beal,5.0,39.0,6.2,4.2,0.8,0.6,4.0,30.0,43.9
Brandon Boston Jr.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
Brandon Clarke,7.0,14.6,3.7,1.0,0.4,0.6,0.5,6.6,15.2
Brandon Ingram,6.0,39.3,6.2,6.2,0.7,0.3,3.8,27.0,42.9
Brook Lopez,12.5,31.5,5.9,0.7,0.9,1.5,1.4,14.6,28.6
Bruce Brown,12.0,28.1,4.6,2.3,1.0,0.6,1.5,11.3,23.6
Bruno Caboclo,2.0,3.5,1.5,0.0,0.5,0.0,0.0,1.0,4.3
Bruno Fernando,6.0,2.0,0.2,0.0,0.0,0.0,0.0,1.0,1.2
Bryn Forbes,12.5,14.4,1.0,0.8,0.2,0.0,0.4,5.3,8.0
CJ Elleby,2.0,4.0,1.5,0.5,0.0,0.0,0.5,0.0,2.0
CJ McCollum,5.7,39.4,6.2,4.1,0.7,0.6,2.5,22.0,37.2
Caleb Martin,20.0,21.2,3.8,1.0,0.8,0.2,0.8,8.6,16.8
Cam Reddish,4.0,23.0,3.5,1.8,1.5,0.5,1.3,12.8,24.4
Cam Thomas,1.5,4.0,0.2,0.2,0.0,0.0,0.2,1.5,1.9
Cameron Johnson,12.7,27.9,4.1,1.7,0.7,0.2,1.0,12.5,21.7
Cameron Payne,14.0,18.0,2.0,2.7,0.6,0.3,1.1,7.2,15.2
Caris LeVert,4.5,34.5,5.3,6.0,0.8,0.2,2.2,17.6,34.2
Carmelo Anthony,5.5,29.5,4.1,1.8,0.6,0.3,1.9,13.8,22.2
Carsen Edwards,1.5,2.8,0.8,0.0,0.0,0.0,0.0,1.2,2.2
Cassius Winston,1.0,5.0,2.0,1.0,0.0,0.0,2.0,2.0,3.9
Cedi Osman,5.0,18.6,3.0,1.0,0.4,0.2,1.0,6.0,11.9
Chandler Hutchison,2.0,9.0,1.5,0.5,0.0,0.0,0.5,3.0,5.0
Charles Bassey,3.0,4.0,1.7,0.3,0.0,0.3,0.0,0.7,4.1
Chimezie Metu,3.0,2.0,0.3,0.0,0.0,0.0,0.3,0.7,0.8
Chris Boucher,6.5,13.9,3.8,0.2,0.1,0.8,0.2,6.1,13.2
Chris Chiozza,5.0,9.8,0.8,2.2,0.8,0.0,0.5,3.3,9.4
Chris Clemons,2.0,4.0,1.0,0.0,0.0,0.0,0.0,3.5,4.7
Chris Paul,11.8,35.4,5.0,7.4,1.5,0.4,2.2,17.6,38.1
Christian Braun,19.0,13.0,2.1,0.6,0.6,0.2,0.5,3.2,8.5
Clint Capela,8.7,25.6,9.0,0.5,0.7,0.7,0.7,6.8,21.9
Coby White,5.0,19.6,3.4,1.8,0.2,0.0,1.2,8.4,14.6
Cody Zeller,21.0,8.3,2.3,0.3,0.1,0.2,0.6,2.2,5.7
D'Angelo Russell,11.0,31.2,2.7,5.6,1.1,0.2,2.3,12.6,25.8
D.J. Augustin,5.0,25.6,2.0,6.0,0.2,0.0,2.4,13.2,22.8
DaQuan Jeffries,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalano Banton,4.0,2.0,0.5,0.3,0.3,0.0,0.3,1.8,3.4
Damian Lillard,5.0,38.6,3.9,7.2,0.8,0.5,2.8,29.3,45.8
Damion Lee,12.0,9.4,1.5,0.5,0.2,0.0,0.2,2.0,4.9
Daniel Gafford,5.0,23.4,5.8,0.6,1.0,2.0,0.6,11.8,28.1
Daniel Oturu,8.0,1.9,0.5,0.0,0.0,0.1,0.0,0.6,1.5
Daniel Theis,16.5,20.4,5.2,1.1,0.4,0.8,0.8,6.6,17.3
Danilo Gallinari,10.0,25.8,4.5,0.9,0.4,0.1,1.3,12.7,19.6
Danny Green,11.2,21.6,2.7,1.2,0.9,0.6,0.7,6.1,14.9
Danuel House Jr.,7.3,18.6,3.4,0.7,0.3,0.1,0.6,6.2,11.9
Dario Šarić,14.0,10.5,2.5,1.0,0.1,0.1,0.4,4.5,9.2
Darius Bazley,7.0,18.0,6.7,0.9,0.0,0.4,0.9,6.6,16.3
Darius Garland,5.0,37.8,1.8,5.0,1.6,0.2,3.6,20.6,32.1
David Duke Jr.,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
